GHGRP ID No. / No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,CO2 (tonnes),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2)
G10001,2023,Division Alma,Alma,Quebec,983,322111,Mechanical Pulp Mills,Usines de pâte mécanique,Produits forestiers Résolu,Resolute FP Canada Inc.,35709.49,580.777,16261.756,0.619,164.035,52135.281
G10003,2023,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,243466.855,441.583,12364.324,6.295,1668.175,257499.354
G10004,2023,Kingston CoGen,Bath,Ontario,5765,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Kingston CoGen Limited Partnership,Kingston CoGen,934.2516,0.212873,5.960444,0.023041,6.105865,946.317909
G10006,2023,Redwater Fertilizer Operations,Sturgeon County,Alberta,2134,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,1015330.582,2071.92639,58013.93892,24.875942,6592.12463,1079936.645
G10007,2023,Alberta Envirofuels,Edmonton,Alberta,3974,325110,Petrochemical Manufacturing,Fabrication de produits pétrochimiques,Keyera Corp,Keyera Corp,343296.5395,15.66355,438.5794,6.5901,1746.3765,345481.4954
G10008,2023,Alliance Pipeline Ltd. - AB Pipeline System,CALGARY,Alberta,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Alliance Pipeline Ltd. Partnership,Alliance Pipeline,522104.8744,628.201565,17589.64382,10.842515,2873.266475,542567.7846
G10009,2023,Alberta-Pacific Forest Industries Inc.,COUNTY OF ATHABASCA,Alberta,1,322112,Chemical Pulp Mills,Usines de pâte chimique,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,156230.613,199.0854,5574.3912,29.1557,7726.2605,169586.0863
G10010,2023,Rio Tinto Alcan Inc.,Kitimat,British Columbia,2788,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Rio Tinto Alcan Inc,Rio Tinto,712384.628,2.63687,73.83236,1.072252,284.14678,809153.2871
G10011,2023,Algoma Steel Inc,Sault Ste. Marie,Ontario,1070,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,Sidérurgie,Algoma Steel Inc.,Algoma Steel Inc.,4276836.1,398.944,11170.432,15.69692,4159.6838,4292166.216
G10012,2023,Aluminerie Alouette inc.,Sept-Îles,Quebec,4778,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Aluminerie Alouette inc.,Aluminerie Alouette inc.,1057955.7,1.6778,46.9784,2.3592,625.188,1108309.929
G10013,2023,Aluminerie de Baie-Comeau,BAIE-COMEAU,Quebec,2038,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Ne pas prendre - Alcoa Canada Co.,Alcoa Canada Co.,521857,0.51,14.28,25.549,6770.485,537948.072
G10014,2023,Aluminerie de Bécancour inc.,Bécancour,Quebec,1071,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Aluminerie de Bécancour inc.,Aluminerie de Bécancour inc.,798279.0454,1.6008,44.8224,2.2973,608.7845,819812.9182
G10015,2023,ATCO Pipelines - Transmission System,Edmonton,Alberta,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,ATCO Gas and Pipelines Ltd.,ATCO Gas and Pipelines,66028.0479,1300.2055,36405.754,3.3559,889.3135,103348.1209
G10016,2023,Atikokan Generating Station,Atikokan,Ontario,3238,221119,Other Electric Power Generation,Autres activités de production d'électricité,Ontario Power Generation Inc.,OPG,16543.93,11.26,315.28,5.59,1481.35,18340.56
G10018,2023,Battle River Generating Station,Forestburg,Alberta,1033,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Alberta Power 2000 Ltd.,Heartland Generation,903843.0703,18.5615,519.722,4.8253,1278.7045,905641.4968
G10020,2023,Bayside Power,Saint John,New Brunswick,5084,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,New Brunswick Power Corporation,NB Power,557185.0525,140.7333,3940.5324,14.0734,3729.451,564855.0359
G10021,2023,Usine de Bedford,Bedford,Quebec,5591,327410,Lime Manufacturing,Fabrication de chaux,Graymont (QC) Inc.,Graymont (QC) Inc.,326944.6269,1.833135,51.32778,1.516469,401.864285,327397.819
G10022,2023,Belledune Generating Station,Belledune,New Brunswick,1698,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,New Brunswick Power Corporation,NB Power,1580642.024,25.6078,717.0184,20.3723,5398.6595,1586757.703
G10024,2023,Boundary Dam Power Station,ESTEVAN,Saskatchewan,2081,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Saskatchewan Power Corporation,SaskPower,3398995.895,182.819764,5118.953392,92.688965,24562.57573,3428677.424
G10025,2023,Thunder Bay Operations,Thunder Bay,Ontario,930,322112,Chemical Pulp Mills,Usines de pâte chimique,Thunder Bay Pulp and Paper Inc.,,183736.0082,52.56674,1471.86872,29.947388,7936.05782,193143.9348
G10026,2023,Brady Road Resource Management Facility,Winnipeg,Manitoba,6896,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,"City of Winnipeg, Water & Waste Department",Water & Waste Department,0,17838.928,499489.984,0,0,499489.984
G10027,2023,Brampton Assembly Plant,Brampton,Ontario,4173,336110,Automobile and Light-Duty Motor Vehicle Manufacturing,Fabrication de voitures et de véhicules automobiles légers,FCA Canada Inc.,FCA,62525.41905,1.21884,34.12752,1.077681,285.585465,62845.13204
G10028,2023,Brandon Generating Station,Brandon,Manitoba,821,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Manitoba Hydro,Manitoba Hydro,45084.5423,11.142199,311.981572,1.149863,304.713695,45729.90757
G10029,2023,Brazeau Gas Plant,Drayton Valley,Alberta,3749,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Tidewater Midstream and Infrastructure Ltd.,,121924.7006,274.399107,7683.174996,6.881989,1823.727085,131431.6027
G10030,2023,Brazeau River Gas Plant,DRAYTON VALLEY,Alberta,1362,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Keyera Corp,Keyera Corp,44528.00509,70.78581,1982.00268,1.34006,355.1159,46865.12367
G10031,2023,Brighton Beach Power,Windsor,Ontario,11009,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Brighton Beach Power L.P.,Brighton Beach Power L.P.,301393.0395,79.778156,2233.788368,8.01094,2122.8991,305749.727
G10032,2023,Brock West Landfill,Pickering,Ontario,0,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,City of Toronto,City of Toronto,10.993,1967.714906,55096.01737,0.008302,2.20003,55109.2104
G10033,2023,Brookfield Cement Plant,Brookfield,Nova Scotia,4317,327310,Cement Manufacturing,Fabrication de ciment,Lafarge Canada Inc.,Lafarge Canada,211928.12,48.7768,1365.7504,0.4989,132.2085,213426.0789
G10036,2023,Burnaby Refinery,Burnaby,British Columbia,2776,324110,Petroleum Refineries,Raffineries de pétrole,Parkland Refining (B.C.) Ltd.,,403961.2533,147.84915,4139.7762,3.5996,953.894,409054.9235
G10038,2023,"TransCanada Pipeline, Saskatchewan",Burstall,Saskatchewan,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,TransCanada PipeLines Limited,TransCanada PipeLines Ltd.,883014.6388,2424.32693,67881.15404,22.67556,6009.0234,956904.8162
G10039,2023,Cabot Canada Limited,Sarnia,Ontario,5808,325189,All Other Basic Inorganic Chemical Manufacturing,Fabrication de tous les autres produits chimiques inorganiques de base,Cabot Canada Limited,Cabot Canada Limited,230616.2871,0.0851,2.3828,0.0663,17.5695,230636.2394
G10040,2023,Calgary Energy Centre,Calgary,Alberta,15740,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Calgary Energy Centre No. 2 Inc.,Calgary Energy Centre No. 2 Inc,834143.3378,58.3369,1633.4332,15.7683,4178.5995,839955.4356
G10042,2023,Calstock Power Plant,Hearst,Ontario,10403,221119,Other Electric Power Generation,Autres activités de production d'électricité,Atlantic Power LP,,459.5699,9.805438,274.552264,6.446183,1708.238495,2442.360659
G10043,2023,Northern Lime Limited,Blind River,Ontario,10138,327410,Lime Manufacturing,Fabrication de chaux,Carmeuse Lime Canada Limited,Carmeuse Lime,118051.228,16.8947,473.0516,0.3855,102.1575,118626.4371
G10044,2023,Canadian Fertilizers Limited,Medicine Hat,Alberta,3821,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Canadian Fertilizers Limited,Canadian Fertilizers Limited,1706520.422,16.4507,460.6196,14.596,3867.94,1710848.982
G10045,2023,Cancarb Ltd.,Medicine Hat,Alberta,5357,325189,All Other Basic Inorganic Chemical Manufacturing,Fabrication de tous les autres produits chimiques inorganiques de base,Cancarb Ltd.,Cancarb Ltd.,136215.0721,10.0648,281.8144,1.0339,273.9835,136774.442
G10046,2023,"TransCanada Pipeline, Alberta System",FAIRVIEW,Alberta,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Nova Gas Transmission Ltd.,NGTL GP Ltd. (as general partner on behalf of NGTL Limited Partnership),4459313.699,10562.113,295739.164,114.051,30223.515,4785276.378
G10047,2023,Cardinal Power,Cardinal,Ontario,4480,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,"Cardinal Power of Canada, L.P.",Cardinal Power,31110.25,5.9054,165.3512,0.732745,194.177425,31469.77863
G10048,2023,Cariboo Pulp and Paper Company,Quesnel,British Columbia,479,322112,Chemical Pulp Mills,Usines de pâte chimique,Cariboo Pulp and Paper Company,Cariboo Pulp,104270.2136,118.12193,3307.41404,17.74438,4702.2607,112279.8884
G10049,2023,Caribou North Comp Stn 11-08,Bonnyville,Alberta,16687,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Cenovus Energy Inc.,Cenovus,25300.44214,111.5956,3124.6768,6.27202,1662.0853,30087.20424
G10050,2023,Dundas Operations,Dundas,Ontario,10139,327410,Lime Manufacturing,Fabrication de chaux,Carmeuse Lime Canada Limited,Carmeuse Lime,425710.6703,4.746075,132.8901,1.669826,442.50389,426286.0643
G10051,2023,Beachville Operation,Ingersoll,Ontario,10140,327410,Lime Manufacturing,Fabrication de chaux,Carmeuse Lime Canada Limited,Carmeuse Lime,380042.8858,3.25939,91.26292,2.13892,566.8138,380700.9625
G10052,2023,Carol Project,Labrador city,Newfoundland and Labrador,5013,212210,Iron Ore Mining,Extraction de minerais de fer,Iron Ore Company of Canada,,775210.992,15.528374,434.794472,18.378108,4870.19862,780515.9851
G10053,2023,Carseland Nitrogen Operations,Wheatland County,Alberta,3269,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,551222.084,135.31233,3788.74524,8.36327,2216.26655,557227.0958
G10054,2023,Carseland Power Plant,CARSELAND,Alberta,6700,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,TransCanada Energy Ltd.,TransCanada Energy Ltd.,387182.1192,26.8185,750.918,8.6816,2300.624,390233.6612
G10055,2023,Orica Carseland,CARSELAND,Alberta,2857,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Orica Canada Inc.,Orica Canada Inc,488.473,0.0293,0.8204,135.2524,35841.886,36331.1794
G10057,2023,Ingredion Canada Incorporated - London Plant,London,Ontario,485,311221,Wet Corn Milling,Mouture humide du maïs,Ingredion Canada Corporation,Ingredion Canada Corporation,128719.78,2.51333,70.37324,2.2344,592.116,129382.2692
G10058,2023,Cavalier Energy Centre,Strathmore,Alberta,6633,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,ENMAX Cavalier GP Inc.,,293633.0503,29.3604,822.0912,5.8429,1548.3685,296003.51
G10059,2023,Cavendish Farms,New Annan,Prince Edward Island,4875,311410,Frozen Food Manufacturing,Fabrication d'aliments congelés,Cavendish Farms Corporation,Cavendish Farms Corporation,48372,4.426968,123.955104,6.170189,1635.100085,50131.05519
G10060,2023,Co-op Refinery Complex,Regina,Saskatchewan,4048,324110,Petroleum Refineries,Raffineries de pétrole,Consumers' Co-operative Refineries Limited,Consumers' Co-operative Refineries Limited,1857191.703,317.847,8899.716,33.037,8754.805,1874846.224
G10061,2023,Centrale de Cap-aux-Meules,"Cap-aux-Meules, Îles-de-la-Madeleine",Quebec,6130,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Hydro-Québec,Hydro-Québec,129631.514,1.4403,40.3284,2.656,703.84,130375.6824
G10064,2023,Chimie Parachem s.e.c,Montréal-Est,Quebec,4569,325110,Petrochemical Manufacturing,Fabrication de produits pétrochimiques,Chimie Parachem s.e.c,Chimie ParaChem s.e.c,169720.214,3.8324,107.3072,2.0498,543.197,170370.7182
G10065,2023,Christina Lake SAGD Bitumen Battery,Lac La Biche,Alberta,6625,211141,In-situ oil sands extraction,Extraction in situ de sables bitumineux,Cenovus FCCL Ltd.,Cenovus Energy Inc.,3868642.055,318.6837,8923.1436,36.65258,9712.9337,3887278.131
G10066,2023,Cimenterie de Saint-Basile,Saint-Basile,Quebec,5548,327310,Cement Manufacturing,Fabrication de ciment,Ciment Québec inc.,Ciment Québec Inc.,730043.9546,13.0916,366.5648,3.6444,965.766,731376.2854
G10067,2023,Cimenterie de Saint-Constant,Saint-Constant,Quebec,0,327310,Cement Manufacturing,Fabrication de ciment,Lafarge Canada Inc.,Lafarge Canada,674402.0126,70.8745,1984.486,9.3797,2485.6205,678872.1191
G10068,2023,Electric Utility - Generation,Medicine Hat,Alberta,6576,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,City of Medicine Hat,City of Medicine Hat,531664.302,195.208752,5465.845056,13.4988,3577.182,541124.343
G10069,2023,Clover Bar Energy Centre,Edmonton,Alberta,23368,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Capital Power (Alberta) Limited Partnership,,362986.584,36.968,1035.104,7.224,1914.36,365936.048
G10071,2023,Cochrane Extraction Plant,Cochrane,Alberta,5248,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Inter Pipeline Ltd.,,457107.5201,201.36166,5638.12648,10.61008,2811.6712,468991.5908
G10073,2023,Cold Lake,Bonnyville,Alberta,442,211141,In-situ oil sands extraction,Extraction in situ de sables bitumineux,Imperial Oil Resources Limited,Imperial Oil Resources Limited,5674724.894,341.4623,9560.9444,98.6376,26138.964,5710424.802
G10074,2023,Coleson Cove Generating Station,Saint John,New Brunswick,1696,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,New Brunswick Power Corporation,NB Power,472662.2228,7.3822,206.7016,11.5045,3048.6925,475917.6169
G10075,2023,Chatham,Chatham,Ontario,5739,325190,Other Basic Organic Chemical Manufacturing,Fabrication d'autres produits chimiques organiques de base,Greenfield Global Inc.,Greenfield Global Inc.,131634.5577,4.350985,121.82758,2.278388,603.77282,132360.1581
G10076,2023,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,Sorel-Tracy,Quebec,4806,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,Sidérurgie,Rio Tinto Fer et Titane inc.,,883099,5.12,143.36,7.02,1860.3,885630.828
G10079,2023,Corner Brook Pulp and Paper,Corner Brook,Newfoundland and Labrador,4929,322122,Newsprint Mills,Usines de papier journal,Corner Brook Pulp and Paper Ltd.,Corner Brook Pulp and Paper Ltd,34284.96,1.42574,39.92072,0.94081,249.31465,34787.97195
G10080,2023,Cory Cogeneration Station,SASKATOON,Saskatchewan,16289,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Saskatchewan Power Corporation,SaskPower,595157.6841,154.01152,4312.32256,15.401152,4081.30528,603551.312
G10082,2023,Crofton Division,Crofton,British Columbia,1266,322112,Chemical Pulp Mills,Usines de pâte chimique,Catalyst Paper Corporation,Catalyst Paper,80023.1013,127.156,3560.368,29.9822,7945.283,91528.7523
G10085,2023,Delta Plant,Delta,British Columbia,5190,327310,Cement Manufacturing,Fabrication de ciment,Heidelberg Materials Canada Limited,Heidelberg Materials,753518.9,29.266,819.448,5.8274,1544.261,755882.609
G10086,2023,ATCO Gas - Distribution System,Edmonton,Alberta,0,221210,Natural Gas Distribution,Distribution de gaz naturel,ATCO Gas and Pipelines Ltd.,ATCO Gas and Pipelines,57160.5447,3870.0383,108361.0724,1.0467,277.3755,165798.9926
G10088,2023,Kruger Trois-Rivières S.E.C.,Trois-Rivières,Quebec,5515,322130,Paperboard Mills,Usines de carton,Kruger inc,Kruger inc,69766,13.664,382.592,3.035,804.275,70965.867
G10089,2023,Usine Kénogami,Saguenay,Quebec,979,322122,Newsprint Mills,Usines de papier journal,Produits forestiers Résolu,Resolute FP Canada Inc.,20424,255.331,7149.268,0.354,93.81,27667.078
G10091,2023,ArcelorMittal Dofasco,Hamilton,Ontario,3713,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,Sidérurgie,ArcelorMittal Canada MP Inc. and ArcelorMittal Canada Inc. partners in ArcelorMittal Dofasco G.P.,ArcelorMittal Dofasco,4160933.014,32.508438,910.236264,24.30286,6440.2579,4168283.508
G10093,2023,Espanola Mill,Espanola,Ontario,3185,322121,Paper (except Newsprint) Mills,"Usines de papier, sauf le papier journal",Domtar Inc.,Domtar,165343.582,750.1312,21003.6736,5.6741,1503.6365,187877.0091
G10095,2023,East Calgary Landfill,Calgary,Alberta,24315,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,City of Calgary,City of Calgary,1046,1396.2253,39094.3084,0.1402,37.153,40177.4614
G10096,2023,East Crossfield Gas Plant 9-14-28-1W5,CROSSFIELD,Alberta,4140,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Taqa North Ltd.,,57892.1644,174.7758,4893.7224,1.475,390.875,63176.7618
G10097,2023,Edmonton Site,Edmonton,Alberta,126,325210,Resin and Synthetic Rubber Manufacturing,Fabrication de résines et de caoutchouc synthétique,Celanese Canada ULC.,,24500.78,9.15,256.2,1.495,396.175,28320.7839
G10098,2023,Edmonton Refinery,Sherwood Park,Alberta,3903,324110,Petroleum Refineries,Raffineries de pétrole,Suncor Energy Products Partnership,Suncor Energy Inc,1318286.78,158.048,4425.344,8.785,2328.025,1325230.559
G10099,2023,Twin Rivers Pulp Ltd.,Edmundston,New Brunswick,1221,322112,Chemical Pulp Mills,Usines de pâte chimique,Twin Rivers Paper Inc,Twin Rivers Paper Inc,34912.9733,333.5703,9339.9684,31.9453,8465.5045,52718.4462
G10100,2023,Edson Gas Plant,Edson,Alberta,5284,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Peyto Exploration and Development Corporation,Peyto Exploration and Development Corporation,149571.7212,539.7145,15112.006,8.06991,2138.52615,166822.2533
G10101,2023,Ekati Diamond Mine,YELLOWKNIFE,Northwest Territories,5236,212392,Diamond Mining,Extraction de diamant,Burgundy Diamond Mines,,169534.965,6.761521,189.322588,1.363527,361.334655,170085.6222
G10103,2023,Elkem Métal Chicoutimi,Chicoutimi,Quebec,6344,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,Sidérurgie,Elkem Metal Canada Inc.,Elkem Metal Canada Inc.,113619.8,68.79011,1926.12308,1.5567,412.5255,115961.1415
G10104,2023,"Foothills Pipeline, British Columbia System",CRANBROOK,British Columbia,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Foothills Pipe Lines (South B.C.) Ltd.,Foothills Pipe Lines (South B.C.) Ltd.,373989.0953,1113.55647,31179.58116,9.64714,2556.4921,407725.1685
G10105,2023,Elkview Operations,Sparwood,British Columbia,7838,212114,Bituminous Coal Mining,Extraction de charbon bitumineux,Teck Coal Limited,Teck Coal Limited,293382.54,9913.6825,277583.11,31.73565,8409.94725,579375.5973
G10106,2023,Elmworth Gas Plant,Elmworth,Alberta,23956,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Cenovus Energy Inc.,Cenovus,174143.714,277.71245,7775.9486,5.65786,1499.3329,183418.9955
G10107,2023,Empress Gas Plant,MEDICINE HAT,Alberta,1091,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Plains Midstream Canada ULC,,65259.9827,170.625523,4777.514644,1.20403,319.06795,70356.5653
G10108,2023,Empress 6,MEDICINE HAT,Alberta,3752,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Plains Midstream Canada ULC,,275979.016,68.974476,1931.285328,5.006885,1326.824525,279237.1259
G10111,2023,Exshaw Plant,Exshaw,Alberta,6826,327410,Lime Manufacturing,Fabrication de chaux,Graymont Western Canada Inc.,Graymont Western Canada Inc.,178521.7594,1.1293,31.6204,0.994,263.41,178816.7898
G10112,2023,Exshaw Cement Plant,Exshaw,Alberta,5291,327310,Cement Manufacturing,Fabrication de ciment,Lafarge Canada Inc.,Lafarge Canada,1193919.628,5.8928,164.9984,5.4018,1431.477,1195516.103
G10113,2023,Faulkner Plant,Faulkner,Manitoba,6825,327410,Lime Manufacturing,Fabrication de chaux,Graymont Western Canada Inc.,Graymont Western Canada Inc.,103782.811,0.49,13.72,0.309,81.885,103878.416
G10114,2023,Woodstock Plant,Woodstock,Ontario,5946,327310,Cement Manufacturing,Fabrication de ciment,Federal White Cement Ltd.,Federal White Cement Ltd.,399518.6593,4.3504,121.8112,1.9719,522.5535,400163.024
G10115,2023,Fording River Operations,Elkford,British Columbia,6669,212114,Bituminous Coal Mining,Extraction de charbon bitumineux,Teck Coal Limited,Teck Coal Limited,471741.1433,12027.27343,336763.656,59.08609,15657.81385,824162.6132
G10117,2023,Fort Nelson Gas Plant,FORT NELSON,British Columbia,4304,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),NorthRiver Midstream Inc.,,370672.9845,96.097965,2690.74302,3.249926,861.23039,374224.958
G10118,2023,Fort Nelson Generating Station,Fort Nelson,British Columbia,7866,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,British Columbia Hydro and Power Authority,BC Hydro,111746.5303,28.619553,801.347484,2.86271,758.61815,113306.496
G10119,2023,Fort Saskatchewan,Fort Saskatchewan,Alberta,2132,331410,Non-Ferrous Metal (except Aluminum) Smelting and Refining,"Fonte et affinage de métaux non ferreux, sauf l'aluminium",Sherritt International Corporation,,297360.6346,242.72017,6796.16476,3.8323,1015.5595,305172.3589
G10120,2023,Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,Fort Saskatchewan,Alberta,5352,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,TransAlta Cogeneration L.P.,,450014.1255,30.784761,861.973308,8.767593,2323.412145,453199.5109
G10121,2023,Fort Saskatchewan Nitrogen Operations,Fort Saskatchewan,Alberta,4874,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,545765.7571,495.53814,13875.06792,5.94359,1575.05135,561215.8764
G10122,2023,Fort Saskatchewan Storage and Fractionation,Fort Saskatchewan,Alberta,4142,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Plains Midstream Canada ULC,,103684.1009,15.188055,425.26554,2.071071,548.833815,104658.2002
G10125,2023,Fort Saskatchewan EOEG,Fort Saskatchewan,Alberta,18996,325190,Other Basic Organic Chemical Manufacturing,Fabrication d'autres produits chimiques organiques de base,MEGlobal Canada ULC,MEGlobal Canada ULC,30553.215,123.3242,3453.0776,0.0008,0.212,34006.5046
G10126,2023,Gathering,Fort St. John,British Columbia,0,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),NorthRiver Midstream Inc.,,91996.22824,867.165624,24280.63747,13.192144,3495.91816,119772.7839
G10127,2023,Genesee Thermal Generating Station,WARBURG,Alberta,267,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Capital Power Generation Services Inc.,CPC,7923108.904,123.0969,3446.7132,125.9386,33373.729,7960033.985
G10128,2023,"Gerdau Ameristeel Corporation, Whitby Mill",Whitby,Ontario,3824,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,Sidérurgie,Gerdau Ameristeel Corporation,Gerdau Long Steel North America,96763.51367,1.367716,38.296048,1.175123,311.407595,97157.44201
G10130,2023,International Paper Canadian Pulp Holdings ULC,Grande Prairie,Alberta,2875,322112,Chemical Pulp Mills,Usines de pâte chimique,International Paper Company,,112005.0058,1395.8027,39082.4756,18.6622,4945.483,156094.5641
G10131,2023,Greenhills Operations,Elkford,British Columbia,6671,212114,Bituminous Coal Mining,Extraction de charbon bitumineux,Teck Coal Limited,Teck Coal Limited,270834.9944,7443.13362,208407.7414,26.330439,6977.566335,486220.3021
G10133,2023,Birla Carbon Canada Ltd.,Hamilton,Ontario,2660,325189,All Other Basic Inorganic Chemical Manufacturing,Fabrication de tous les autres produits chimiques inorganiques de base,Birla Carbon Canada Ltd.,Birla Carbon,205969.307,0.099,2.772,0.088,23.32,205995.399
G10134,2023,Hangingstone SAGD Demonstration Facility,RM of Wood Buffalo,Alberta,17122,211141,In-situ oil sands extraction,Extraction in situ de sables bitumineux,Greenfire Resources Operating Corporation,,210387.5211,26.7105,747.894,3.8983,1033.0495,212168.4646
G10135,2023,Hanlan Robb Gas Plant,EDSON,Alberta,3758,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Canlin Energy Corporation,,157104.9066,7.4536,208.7008,1.7793,471.5145,157785.1219
G10136,2023,Harmac Pacific Operations,Nanaimo,British Columbia,1383,322112,Chemical Pulp Mills,Usines de pâte chimique,Nanaimo Forest Products Ltd.,Nanaimo Forest Products Ltd.,128714.2413,128.9511,3610.6308,32.0972,8505.758,140960.2172
G10137,2023,Harmattan Gas Processing Plant,DIDSBURY,Alberta,3941,211110,Oil and gas extraction (except oil sands),Extraction de pétrole et de gaz (à l'exception des sables bitumineux),AltaGas Ltd.,,374957.0303,444.50822,12446.23016,22.63439,5998.11335,393401.3738
G10138,2023,Havelock Plant,HAVELOCK,New Brunswick,6188,327410,Lime Manufacturing,Fabrication de chaux,Graymont (NB) Inc.,Graymont (NB) Inc.,49916.05,0.569,15.932,0.25227,66.85155,49998.83355
