GHGRP ID No. / No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,CO2 (tonnes),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2)
G11054,2022,Agropur Coopérative - Usine de Notre-Dame-du-Bon-Conseil,Notre-Dame-du-Bon-Conseil,Quebec,4342,311515,"Butter, Cheese, and Dry and Condensed Dairy Products Manufacturing","Fabrication de beurre, de fromage et de produits laitiers secs et concentrés",Agropur Cooperative,,18927,0.32687,9.15236,0.29134,77.2051,19420.65956
G11055,2022,Agropur Coopérative - Usine de Plessisville,Plessisville,Quebec,6468,311515,"Butter, Cheese, and Dry and Condensed Dairy Products Manufacturing","Fabrication de beurre, de fromage et de produits laitiers secs et concentrés",Agropur Cooperative,,12326.83,0.243,6.804,0.217,57.505,12521.2514
G11056,2022,Innisfail Plant,Innisfail,Alberta,2630,327214,Glass Manufacturing,Fabrication de verre,Johns Manville Canada Inc.,,22821.35524,0.478138,13.387864,0.342514,90.76621,22925.50932
G11057,2022,Waste Management Facility,Red Deer,Alberta,17141,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,City of Red Deer,,405.8,1700.86,47624.08,0.16,42.4,48072.28
G11058,2022,Main Campus,Halifax,Nova Scotia,6008,611310,Universities,Universités,Dalhousie University,,19780.9468,0.37377,10.46556,0.35486,94.0379,19885.45026
G11059,2022,FORMET INDUSTRIES,St Thomas,Ontario,5725,336390,Other Motor Vehicle Parts Manufacturing,Fabrication d'autres pièces pour véhicules automobiles,Magna International Inc,,27018,0.53,14.84,0.467,123.755,27156.595
G11060,2022,Canadian General-Tower Ltd.,Cambridge,Ontario,3475,326114,Unsupported Plastic Film and Sheet Manufacturing,Fabrication de pellicules et de feuilles non renforcées en plastique,Canadian General-Tower Ltd.,,14135,0.278,7.784,0.248,65.72,14208.504
G11064,2022,CASCADES EMBALLAGE CARTON-CAISSE CABANO,Temiscouata-sur-le-Lac,Quebec,1872,322121,Paper (except Newsprint) Mills,"Usines de papier, sauf le papier journal",Cascades Canada ULC,Cascades Canada ULC,13248.75,24.1009,674.8252,6.5282,1729.973,15707.22002
G11066,2022,CFB/ BFC Borden,Borden,Ontario,10486,911110,Defence Services,Services de défense,DND/ MDN,DND,19007.864,0.5346,14.9688,0.988,261.82,19284.6528
G11067,2022,Montreal Power House,Dorval,Quebec,7868,488190,Other Support Activities for Air Transportation,Autres activités de soutien au transport aérien,Air Canada,,12085.96452,0.299344,8.381632,0.226223,59.949095,12154.29525
G11068,2022,Lethbridge,Lethbridge,Alberta,4829,311224,Oilseed Processing,Transformation des graines oléagineuses,Richardson Oilseed Ltd.,,39309.4941,0.7671,21.4788,0.67901,179.93765,39510.91055
G11069,2022,Red Deer Regional Hospital Centre,Red Deer,Alberta,16296,622111,General (except Paediatric) Hospitals,"Hôpitaux généraux, sauf les hôpitaux pédiatriques",Alberta  Health Services,,12267.371,0.236,6.608,0.14,37.1,12311.079
G11070,2022,ERCO Worldwide Saskatoon plant,Saskatoon,Saskatchewan,2074,325181,Alkali and Chlorine Manufacturing,Fabrication d'alcalis et de chlore,ERCO Worldwide LP,ERCO Worldwide,12754.42039,0.268059,7.505652,0.21374,56.6411,12827.96714
G11072,2022,5 WG/ 5 Esc Goose Bay,Goose Bay,Newfoundland and Labrador,746,911110,Defence Services,Services de défense,DND/ MDN,DND,19076.4586,0.1814,5.0792,0.2146,56.869,19138.4068
G11073,2022,Panolam Industries Ltd.,Huntsville,Ontario,1199,321216,Particle Board and Fibreboard Mills,Usines de panneaux de particules et de fibres,Panolam Industries Ltd.,,17618.2,2.2881,64.0668,1.6315,432.3475,18114.6143
G11074,2022,Hexion Canada Inc.- Edmonton Facility,Edmonton,Alberta,11,325210,Resin and Synthetic Rubber Manufacturing,Fabrication de résines et de caoutchouc synthétique,Hexion Canada Inc.,,15899.3441,0.1262,3.5336,0.108,28.62,15931.4977
G11075,2022,Olymel s.e.c St-Esprit,St-Esprit,Quebec,0,311611,Animal (except Poultry) Slaughtering,"Abattage d'animaux, sauf les volailles",Olymel S.E.C.,,16522.5006,0.1804,5.0512,0.4724,125.186,16652.7378
G11076,2022,Maple Leaf Foods - Brandon,Brandon,Manitoba,5317,311611,Animal (except Poultry) Slaughtering,"Abattage d'animaux, sauf les volailles",Maple Leaf Foods Inc.,,24193.1427,0.4145,11.606,0.3975,105.3375,24310.0862
G11077,2022,Valleyfield,Salaberry de Valleyfield,Quebec,10280,325189,All Other Basic Inorganic Chemical Manufacturing,Fabrication de tous les autres produits chimiques inorganiques de base,National Silicates Partnership,,29197.57,0.3647,10.2116,0.3313,87.7945,29295.5761
G11079,2022,Cargill High River Plant,High River,Alberta,5235,311611,Animal (except Poultry) Slaughtering,"Abattage d'animaux, sauf les volailles",Cargill Foods,,37259.9,222.1246,6219.4888,5.242554,1389.27681,44952.73012
G11080,2022,Powerhouse,Winnipeg,Manitoba,6836,611310,Universities,Universités,University of Manitoba,,31000,0.6,16.8,0.57,151.05,31323.045
G11081,2022,Ingredion Canada Corporation,Cardinal,Ontario,488,311221,Wet Corn Milling,Mouture humide du maïs,Ingredion Canada Corporation,Ingredion Canada Corporation,89754.7931,1.7554,49.1512,1.5584,412.976,90216.9203
G11082,2022,G.E. Booth (Lakeview) Wastewater Treatment Facility,Mississauga,Ontario,3803,221320,Sewage Treatment Facilities,Installations d'épuration des eaux usées,Ontario Clean Water Agency,,3070,0.479,13.412,46.009,12192.385,15275.797
G11084,2022,Hartmann North America,Brantford,Ontario,11039,322299,All Other Converted Paper Product Manufacturing,Fabrication de tous les autres produits en papier transformé,Hartmann Canada Inc.,,16053.79,0.354549,9.927372,0.283698,75.17997,16138.89734
G11085,2022,Moose Jaw,Moose Jaw,Saskatchewan,17705,327215,Glass Product Manufacturing from Purchased Glass,Fabrication de produits en verre à partir de verre acheté,PNA Partnership,,9186.49,0.1831,5.1268,0.1595,42.2675,9233.8843
G11087,2022,Tunney's Pasture Central Heating and Cooling Plant,Ottawa,Ontario,10177,911910,Other Federal Government Public Administration,Autres services de l'administration publique fédérale,Public Works and Government Services Canada,,9277.6,0.179,5.012,0.169,44.785,9327.397
